                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6706,                 2.5709,                 1.6613,                 1.3207,                0.89514,                0.82086,                0.91446,                0.56791,                0.90059,                 0.8141,                0.89448,                0.54072,                  1.417,                 1.8686,                 1.1249,                 1.3116,             0.00066173,             0.00066173,             0.00066173
                      1,                 1.3473,                 2.0514,                0.93549,                 1.2115,                0.86471,                0.91667,                0.91887,                 0.6009,                0.84538,                0.91667,                0.89741,                0.55522,                 1.2096,                 1.6854,                0.88329,                 1.3296,              0.0013021,              0.0013021,              0.0013021
                      2,                 1.3318,                 1.9991,                0.88683,                  1.205,                0.88286,                0.90385,                0.92162,                0.57621,                0.88369,                0.91026,                0.92953,                0.55069,                 1.2465,                 1.6547,                0.78183,                 1.3502,              0.0019161,              0.0019161,              0.0019161
                      3,                 1.2749,                 1.9161,                0.81778,                 1.1989,                0.90723,                0.94231,                0.93148,                0.59099,                0.90106,                 0.9359,                 0.9523,                0.57638,                 1.1576,                 1.6047,                0.78855,                 1.3158,              0.0018812,              0.0018812,              0.0018812
                      4,                 1.2455,                 1.8648,                0.79413,                  1.186,                0.95393,                 0.9292,                0.96496,                0.63326,                0.94363,                0.91026,                0.94932,                0.61002,                 1.2105,                 1.6285,                0.77667,                 1.3017,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2096,                 1.7799,                0.77163,                 1.1642,                0.90021,                0.92526,                0.94008,                0.65369,                0.92111,                0.92949,                0.94924,                0.60018,                 1.2363,                 1.5246,                0.74988,                 1.3541,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1808,                 1.8013,                0.74909,                  1.163,                0.94285,                0.95183,                0.95129,                0.64923,                0.91041,                0.91193,                0.92163,                0.60826,                 1.2006,                 1.5421,                0.69148,                 1.3639,               0.001802,               0.001802,               0.001802
                      7,                 1.1433,                 1.7368,                0.71098,                 1.1438,                0.96146,                0.95944,                0.94767,                 0.6472,                0.93769,                0.92949,                 0.9488,                 0.5895,                 1.1994,                 1.7669,                0.68166,                 1.2863,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1327,                 1.7502,                0.70794,                 1.1457,                0.91093,                0.91777,                0.93487,                0.59903,                0.92291,                0.92949,                0.95326,                0.58799,                 1.2686,                 1.5222,                0.73177,                 1.3474,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1343,                 1.7161,                 0.7028,                 1.1453,                0.92721,                0.92308,                0.93743,                0.64248,                0.92377,                 0.9359,                0.96423,                0.60882,                 1.0779,                 1.4289,                0.65836,                  1.208,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.0798,                 1.6751,                0.66713,                 1.1192,                0.93702,                0.95374,                0.94555,                0.65647,                0.92443,                0.94103,                0.93912,                0.57874,                 1.1227,                 1.6035,                0.62073,                 1.2633,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.0918,                 1.6663,                0.66465,                 1.1265,                0.94386,                0.94872,                0.96439,                0.68932,                0.94204,                0.93761,                0.95959,                0.58735,                 1.0812,                 1.7279,                0.63516,                 1.2252,               0.001604,               0.001604,               0.001604
                     12,                   1.07,                 1.6206,                0.65346,                 1.1151,                0.93798,                0.94872,                0.94748,                0.68721,                0.93139,                0.94231,                0.95518,                0.63414,                0.98298,                 1.3506,                0.57648,                 1.1695,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0524,                 1.5837,                0.63249,                 1.1091,                0.91698,                0.92051,                0.93534,                 0.6726,                0.92974,                0.93315,                0.96333,                0.62028,                 1.0369,                 1.3943,                0.60255,                 1.2235,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0484,                 1.5488,                0.63565,                  1.111,                 0.9358,                0.93436,                0.94709,                0.69643,                 0.9358,                0.93436,                0.96406,                0.63111,                 1.0068,                 1.3706,                0.56895,                 1.1897,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0471,                 1.5577,                0.63461,                 1.1092,                0.96552,                 0.9359,                0.97456,                0.66192,                0.94401,                0.94231,                 0.9594,                0.60183,                  1.064,                 1.4265,                0.60245,                 1.2056,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0288,                 1.5373,                0.62774,                 1.0973,                0.96933,                0.92308,                0.95111,                0.68383,                0.97606,                0.92949,                0.95862,                0.62859,                 1.0752,                 1.3954,                0.57546,                 1.2448,               0.001406,               0.001406,               0.001406
                     17,                  1.026,                 1.5156,                0.61923,                 1.0967,                0.91748,                0.91667,                0.93306,                0.65182,                0.92969,                0.93233,                0.95275,                0.63617,                 1.1128,                 1.4286,                0.58792,                 1.3015,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0193,                 1.5116,                0.60662,                 1.0946,                0.92459,                0.92949,                0.93733,                0.63431,                0.91145,                0.92376,                0.95168,                0.61747,                 1.1703,                 1.3613,                0.61903,                 1.2402,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.0063,                  1.464,                0.60691,                   1.09,                0.91894,                0.94467,                0.94418,                0.67697,                0.92337,                 0.9269,                0.96877,                0.64507,                 1.0356,                 1.3474,                0.57536,                 1.1977,              0.0012872,              0.0012872,              0.0012872
                     20,                0.99398,                 1.4694,                0.59927,                 1.0848,                0.94876,                0.94958,                0.96354,                0.68602,                0.94236,                0.94317,                0.95924,                0.60322,                 1.0582,                 1.3818,                0.59114,                 1.2671,              0.0012476,              0.0012476,              0.0012476
                     21,                0.98398,                 1.4368,                0.58867,                 1.0857,                0.93644,                 0.9359,                0.95684,                 0.7086,                0.94286,                0.94231,                0.97218,                0.62942,                0.99285,                 1.3076,                0.57694,                 1.1623,               0.001208,               0.001208,               0.001208
                     22,                0.98092,                 1.4253,                0.58456,                 1.0785,                0.90803,                 0.9359,                0.94905,                 0.6757,                0.92547,                0.91026,                0.95708,                  0.627,                  1.049,                 1.3728,                0.57004,                 1.2373,              0.0011684,              0.0011684,              0.0011684
                     23,                0.97898,                 1.4557,                 0.5767,                 1.0784,                0.96614,                0.94231,                0.95198,                0.70393,                0.97966,                0.95513,                0.97293,                0.64203,                0.99964,                 1.3069,                0.53386,                 1.1816,              0.0011288,              0.0011288,              0.0011288
                     24,                0.97002,                 1.4405,                0.57489,                 1.0752,                0.92243,                0.94231,                0.95699,                0.71205,                0.94103,                0.96154,                0.97354,                0.65122,                0.95935,                 1.3193,                0.57073,                 1.1658,              0.0010892,              0.0010892,              0.0010892
                     25,                0.97831,                 1.4847,                0.58079,                 1.0842,                0.91469,                0.92308,                0.93768,                0.68594,                0.91914,                0.92949,                0.96455,                 0.6392,                0.99518,                 1.2587,                0.58575,                 1.1928,              0.0010496,              0.0010496,              0.0010496
                     26,                 0.9483,                 1.4018,                0.56146,                 1.0649,                0.95282,                0.90613,                0.94787,                0.70094,                0.95716,                0.91026,                0.97093,                 0.6373,                0.95567,                 1.3013,                0.55371,                 1.1771,                0.00101,                0.00101,                0.00101
                     27,                0.94076,                 1.3631,                0.55468,                 1.0682,                0.92645,                 0.9359,                0.94732,                 0.6969,                0.93922,                0.91667,                0.96313,                0.64619,                0.99959,                 1.2841,                0.55861,                 1.2058,              0.0009704,              0.0009704,              0.0009704
                     28,                0.93237,                 1.3836,                0.55848,                  1.068,                0.92701,                0.91667,                0.94497,                0.69107,                0.94042,                0.92949,                0.96316,                0.63363,                0.99356,                 1.2979,                0.58953,                 1.1549,              0.0009308,              0.0009308,              0.0009308
                     29,                0.92048,                 1.3848,                0.54477,                 1.0567,                0.93791,                0.91667,                0.94812,                0.69505,                0.94171,                  0.932,                0.97094,                0.64073,                0.98284,                 1.2618,                0.56699,                 1.1611,              0.0008912,              0.0008912,              0.0008912
                     30,                0.92136,                 1.3531,                 0.5451,                 1.0547,                0.94135,                0.92591,                0.95348,                0.70014,                0.94786,                0.93232,                0.97321,                0.63287,                 1.0392,                 1.2788,                0.55694,                 1.1995,              0.0008516,              0.0008516,              0.0008516
                     31,                  0.917,                 1.3702,                0.53739,                 1.0546,                0.94763,                0.92802,                0.94587,                0.69034,                0.92805,                0.90952,                0.92727,                 0.6125,                 1.0532,                 1.3673,                0.52582,                 1.2562,               0.000812,               0.000812,               0.000812
                     32,                0.91459,                 1.3628,                0.54002,                 1.0573,                0.95498,                0.91026,                0.95186,                0.70455,                0.94818,                0.93829,                0.96603,                0.63371,                 1.0505,                  1.301,                0.54244,                 1.2329,              0.0007724,              0.0007724,              0.0007724
                     33,                0.91478,                 1.3507,                0.53463,                 1.0476,                0.92233,                0.91353,                0.95223,                0.72497,                0.92859,                0.91692,                0.96867,                0.64073,                0.97025,                 1.2854,                0.51373,                 1.1706,              0.0007328,              0.0007328,              0.0007328
                     34,                0.91821,                 1.3405,                0.52664,                 1.0566,                 0.9291,                0.91026,                0.94535,                0.70378,                0.92256,                0.90385,                0.94429,                 0.6293,                  0.945,                 1.2562,                0.53076,                  1.147,              0.0006932,              0.0006932,              0.0006932
                     35,                0.90432,                 1.2937,                0.52357,                 1.0462,                0.94039,                0.91007,                0.94731,                0.70998,                0.94039,                0.91007,                  0.947,                0.64666,                0.95825,                 1.2984,                0.52834,                 1.1698,              0.0006536,              0.0006536,              0.0006536
                     36,                0.89442,                 1.3352,                0.51664,                 1.0453,                0.93302,                0.90385,                0.93039,                0.69112,                0.91066,                0.91482,                 0.9397,                0.62281,                0.99534,                 1.3399,                0.56032,                 1.2173,               0.000614,               0.000614,               0.000614
                     37,                0.88781,                 1.2975,                0.52127,                 1.0421,                0.94179,                0.93342,                0.94808,                0.71297,                0.94826,                0.93983,                0.96366,                0.65269,                0.99264,                 1.2575,                 0.5039,                 1.1767,              0.0005744,              0.0005744,              0.0005744
                     38,                0.88861,                 1.3201,                0.51582,                 1.0411,                0.94025,                0.91026,                0.95122,                0.70991,                  0.938,                0.92308,                0.96187,                0.64928,                0.94093,                 1.2518,                0.51309,                 1.1395,              0.0005348,              0.0005348,              0.0005348
                     39,                0.87382,                 1.2721,                0.51373,                 1.0429,                 0.9461,                0.90018,                0.95299,                 0.7043,                0.92321,                0.95513,                0.96277,                0.62724,                 0.9988,                 1.2852,                0.51828,                 1.1861,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.8047,                 1.1181,                0.44312,                 1.1205,                0.92913,                0.92445,                0.95317,                0.71733,                0.93635,                0.94303,                0.97535,                0.64742,                0.94543,                  1.254,                0.50215,                   1.16,              0.0004556,              0.0004556,              0.0004556
                     41,                0.77583,                 1.1291,                0.42854,                 1.1049,                0.92105,                 0.9359,                0.95502,                0.72895,                0.91852,                 0.9359,                0.97067,                0.65599,                0.90565,                 1.2357,                0.47969,                 1.1368,               0.000416,               0.000416,               0.000416
                     42,                0.76489,                 1.1238,                0.41723,                 1.0886,                0.91675,                 0.9359,                0.94939,                0.71714,                0.94422,                 0.9359,                0.97054,                0.64311,                0.92657,                 1.2248,                0.49863,                 1.1539,              0.0003764,              0.0003764,              0.0003764
                     43,                0.74485,                 1.0813,                0.40591,                 1.0811,                0.92225,                0.92949,                0.94018,                0.71371,                0.92225,                0.92949,                0.96214,                0.65423,                0.93734,                 1.2456,                0.50342,                 1.1635,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.7414,                 1.0804,                0.39987,                 1.0834,                0.94942,                0.92308,                0.95238,                0.73678,                0.96261,                 0.9359,                0.97495,                0.65328,                0.92557,                 1.2212,                0.48944,                 1.1477,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.7151,                 1.0478,                 0.3972,                 1.0667,                0.93519,                 0.9359,                 0.9528,                0.73229,                0.93519,                 0.9359,                0.97128,                0.67657,                 0.9107,                 1.2043,                0.48524,                 1.1441,              0.0002576,              0.0002576,              0.0002576
                     46,                0.71336,                  1.028,                0.39425,                 1.0692,                0.93571,                0.93292,                 0.9523,                0.72661,                0.94186,                0.92949,                0.97179,                0.65605,                0.90786,                  1.207,                0.49728,                 1.1519,               0.000218,               0.000218,               0.000218
                     47,                0.70497,                 1.0462,                0.38321,                 1.0645,                0.91722,                0.92334,                0.94931,                 0.7231,                0.92359,                0.92975,                 0.9681,                0.64848,                0.92292,                 1.2168,                0.48554,                 1.1541,              0.0001784,              0.0001784,              0.0001784
                     48,                0.69775,                 1.0121,                0.37995,                 1.0543,                0.92063,                 0.9359,                0.95183,                0.72599,                0.93705,                0.95425,                0.97207,                0.64869,                0.90851,                 1.2215,                 0.4693,                 1.1565,              0.0001388,              0.0001388,              0.0001388
                     49,                 0.6995,                 1.0256,                0.37703,                 1.0539,                0.93839,                0.92949,                0.94933,                0.72617,                0.95828,                0.94872,                0.97502,                0.65693,                0.91717,                 1.2503,                0.47466,                 1.1577,               9.92e-05,               9.92e-05,               9.92e-05
